,image_x1_path,image_x1_filename,image_x1_dim,image_x2_path,image_x2_filename,image_x2_dim,image_x4_path,image_x4_filename,image_x4_dim,image_x8_path,image_x8_filename,image_x8_dim,image_x16_path,image_x16_filename,image_x16_dim
864,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474982928333483972x1.png,images_rig_cam4_1474982928333483972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474982928333483972x2.png,images_rig_cam4_1474982928333483972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474982928333483972x4.png,images_rig_cam4_1474982928333483972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474982928333483972x8.png,images_rig_cam4_1474982928333483972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474982928333483972x16.png,images_rig_cam4_1474982928333483972x16.png,512x512
1674,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477833695053803598x1.png,images_rig_cam5_1477833695053803598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477833695053803598x2.png,images_rig_cam5_1477833695053803598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477833695053803598x4.png,images_rig_cam5_1477833695053803598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477833695053803598x8.png,images_rig_cam5_1477833695053803598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477833695053803598x16.png,images_rig_cam5_1477833695053803598x16.png,512x512
1628,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam5_1477833691662315598x1.png,images_rig_cam5_1477833691662315598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam5_1477833691662315598x2.png,images_rig_cam5_1477833691662315598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam5_1477833691662315598x4.png,images_rig_cam5_1477833691662315598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam5_1477833691662315598x8.png,images_rig_cam5_1477833691662315598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam5_1477833691662315598x16.png,images_rig_cam5_1477833691662315598x16.png,512x512
752,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474975207722354738x1.png,images_rig_cam4_1474975207722354738x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474975207722354738x2.png,images_rig_cam4_1474975207722354738x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474975207722354738x4.png,images_rig_cam4_1474975207722354738x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474975207722354738x8.png,images_rig_cam4_1474975207722354738x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474975207722354738x16.png,images_rig_cam4_1474975207722354738x16.png,512x512
598,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1474975196294514738x1.png,images_rig_cam4_1474975196294514738x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1474975196294514738x2.png,images_rig_cam4_1474975196294514738x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1474975196294514738x4.png,images_rig_cam4_1474975196294514738x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1474975196294514738x8.png,images_rig_cam4_1474975196294514738x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1474975196294514738x16.png,images_rig_cam4_1474975196294514738x16.png,512x512
1450,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477833696233451598x1.png,images_rig_cam4_1477833696233451598x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477833696233451598x2.png,images_rig_cam4_1477833696233451598x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477833696233451598x4.png,images_rig_cam4_1477833696233451598x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477833696233451598x8.png,images_rig_cam4_1477833696233451598x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477833696233451598x16.png,images_rig_cam4_1477833696233451598x16.png,512x512
141,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477843927508135523x1.png,images_rig_cam4_1477843927508135523x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477843927508135523x2.png,images_rig_cam4_1477843927508135523x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477843927508135523x4.png,images_rig_cam4_1477843927508135523x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477843927508135523x8.png,images_rig_cam4_1477843927508135523x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477843927508135523x16.png,images_rig_cam4_1477843927508135523x16.png,512x512
2,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam41474982922066603972x1.png,images_rig_cam41474982922066603972x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam41474982922066603972x2.png,images_rig_cam41474982922066603972x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam41474982922066603972x4.png,images_rig_cam41474982922066603972x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam41474982922066603972x8.png,images_rig_cam41474982922066603972x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam41474982922066603972x16.png,images_rig_cam41474982922066603972x16.png,512x512
1843,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477838503094897559x1.png,images_rig_cam4_1477838503094897559x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477838503094897559x2.png,images_rig_cam4_1477838503094897559x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477838503094897559x4.png,images_rig_cam4_1477838503094897559x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477838503094897559x8.png,images_rig_cam4_1477838503094897559x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477838503094897559x16.png,images_rig_cam4_1477838503094897559x16.png,512x512
1811,/l/vision/v5/sragas/ETH_3D/x1/images_rig_cam4_1477838500735601559x1.png,images_rig_cam4_1477838500735601559x1.png,32x32,/l/vision/v5/sragas/ETH_3D/x2/images_rig_cam4_1477838500735601559x2.png,images_rig_cam4_1477838500735601559x2.png,64x64,/l/vision/v5/sragas/ETH_3D/x4/images_rig_cam4_1477838500735601559x4.png,images_rig_cam4_1477838500735601559x4.png,128x128,/l/vision/v5/sragas/ETH_3D/x8/images_rig_cam4_1477838500735601559x8.png,images_rig_cam4_1477838500735601559x8.png,256x256,/l/vision/v5/sragas/ETH_3D/x16/images_rig_cam4_1477838500735601559x16.png,images_rig_cam4_1477838500735601559x16.png,512x512
