,image_80x64_path,image_80x64_filename,image_80x64_dim,image_160x128_path,image_160x128_filename,image_160x128_dim,image_320x256_path,image_320x256_filename,image_320x256_dim,image_640x512_path,image_640x512_filename,image_640x512_dim,image_1280x1024_path,image_1280x1024_filename,image_1280x1024_dim
622,/l/vision/v5/sragas/DTU_patches/img80x64/scan109_depth_map_0046_x64.png,scan109_depth_map_0046_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan109_depth_map_0046_x128.png,scan109_depth_map_0046_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan109_depth_map_0046_x256.png,scan109_depth_map_0046_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan109_depth_map_0046_x512.png,scan109_depth_map_0046_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan109_depth_map_0046_x1024.png,scan109_depth_map_0046_x1024.png,1024x1280
1419,/l/vision/v5/sragas/DTU_patches/img80x64/scan120_depth_map_0011_x64.png,scan120_depth_map_0011_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan120_depth_map_0011_x128.png,scan120_depth_map_0011_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan120_depth_map_0011_x256.png,scan120_depth_map_0011_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan120_depth_map_0011_x512.png,scan120_depth_map_0011_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan120_depth_map_0011_x1024.png,scan120_depth_map_0011_x1024.png,1024x1280
3956,/l/vision/v5/sragas/DTU_patches/img80x64/scan3_depth_map_0052_x64.png,scan3_depth_map_0052_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan3_depth_map_0052_x128.png,scan3_depth_map_0052_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan3_depth_map_0052_x256.png,scan3_depth_map_0052_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan3_depth_map_0052_x512.png,scan3_depth_map_0052_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan3_depth_map_0052_x1024.png,scan3_depth_map_0052_x1024.png,1024x1280
7850,/l/vision/v5/sragas/DTU_patches/img80x64/scan99_depth_map_0042_x64.png,scan99_depth_map_0042_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan99_depth_map_0042_x128.png,scan99_depth_map_0042_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan99_depth_map_0042_x256.png,scan99_depth_map_0042_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan99_depth_map_0042_x512.png,scan99_depth_map_0042_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan99_depth_map_0042_x1024.png,scan99_depth_map_0042_x1024.png,1024x1280
2446,/l/vision/v5/sragas/DTU_patches/img80x64/scan19_depth_map_0014_x64.png,scan19_depth_map_0014_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan19_depth_map_0014_x128.png,scan19_depth_map_0014_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan19_depth_map_0014_x256.png,scan19_depth_map_0014_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan19_depth_map_0014_x512.png,scan19_depth_map_0014_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan19_depth_map_0014_x1024.png,scan19_depth_map_0014_x1024.png,1024x1280
2344,/l/vision/v5/sragas/DTU_patches/img80x64/scan17_depth_map_0040_x64.png,scan17_depth_map_0040_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan17_depth_map_0040_x128.png,scan17_depth_map_0040_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan17_depth_map_0040_x256.png,scan17_depth_map_0040_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan17_depth_map_0040_x512.png,scan17_depth_map_0040_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan17_depth_map_0040_x1024.png,scan17_depth_map_0040_x1024.png,1024x1280
2997,/l/vision/v5/sragas/DTU_patches/img80x64/scan26_depth_map_0053_x64.png,scan26_depth_map_0053_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan26_depth_map_0053_x128.png,scan26_depth_map_0053_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan26_depth_map_0053_x256.png,scan26_depth_map_0053_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan26_depth_map_0053_x512.png,scan26_depth_map_0053_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan26_depth_map_0053_x1024.png,scan26_depth_map_0053_x1024.png,1024x1280
2080,/l/vision/v5/sragas/DTU_patches/img80x64/scan13_depth_map_0032_x64.png,scan13_depth_map_0032_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan13_depth_map_0032_x128.png,scan13_depth_map_0032_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan13_depth_map_0032_x256.png,scan13_depth_map_0032_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan13_depth_map_0032_x512.png,scan13_depth_map_0032_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan13_depth_map_0032_x1024.png,scan13_depth_map_0032_x1024.png,1024x1280
5162,/l/vision/v5/sragas/DTU_patches/img80x64/scan57_depth_map_0042_x64.png,scan57_depth_map_0042_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan57_depth_map_0042_x128.png,scan57_depth_map_0042_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan57_depth_map_0042_x256.png,scan57_depth_map_0042_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan57_depth_map_0042_x512.png,scan57_depth_map_0042_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan57_depth_map_0042_x1024.png,scan57_depth_map_0042_x1024.png,1024x1280
1410,/l/vision/v5/sragas/DTU_patches/img80x64/scan120_depth_map_0002_x64.png,scan120_depth_map_0002_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan120_depth_map_0002_x128.png,scan120_depth_map_0002_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan120_depth_map_0002_x256.png,scan120_depth_map_0002_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan120_depth_map_0002_x512.png,scan120_depth_map_0002_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan120_depth_map_0002_x1024.png,scan120_depth_map_0002_x1024.png,1024x1280
2605,/l/vision/v5/sragas/DTU_patches/img80x64/scan20_depth_map_0045_x64.png,scan20_depth_map_0045_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan20_depth_map_0045_x128.png,scan20_depth_map_0045_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan20_depth_map_0045_x256.png,scan20_depth_map_0045_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan20_depth_map_0045_x512.png,scan20_depth_map_0045_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan20_depth_map_0045_x1024.png,scan20_depth_map_0045_x1024.png,1024x1280
2760,/l/vision/v5/sragas/DTU_patches/img80x64/scan23_depth_map_0008_x64.png,scan23_depth_map_0008_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan23_depth_map_0008_x128.png,scan23_depth_map_0008_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan23_depth_map_0008_x256.png,scan23_depth_map_0008_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan23_depth_map_0008_x512.png,scan23_depth_map_0008_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan23_depth_map_0008_x1024.png,scan23_depth_map_0008_x1024.png,1024x1280
889,/l/vision/v5/sragas/DTU_patches/img80x64/scan112_depth_map_0057_x64.png,scan112_depth_map_0057_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan112_depth_map_0057_x128.png,scan112_depth_map_0057_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan112_depth_map_0057_x256.png,scan112_depth_map_0057_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan112_depth_map_0057_x512.png,scan112_depth_map_0057_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan112_depth_map_0057_x1024.png,scan112_depth_map_0057_x1024.png,1024x1280
5607,/l/vision/v5/sragas/DTU_patches/img80x64/scan63_depth_map_0039_x64.png,scan63_depth_map_0039_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan63_depth_map_0039_x128.png,scan63_depth_map_0039_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan63_depth_map_0039_x256.png,scan63_depth_map_0039_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan63_depth_map_0039_x512.png,scan63_depth_map_0039_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan63_depth_map_0039_x1024.png,scan63_depth_map_0039_x1024.png,1024x1280
7048,/l/vision/v5/sragas/DTU_patches/img80x64/scan88_depth_map_0008_x64.png,scan88_depth_map_0008_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan88_depth_map_0008_x128.png,scan88_depth_map_0008_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan88_depth_map_0008_x256.png,scan88_depth_map_0008_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan88_depth_map_0008_x512.png,scan88_depth_map_0008_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan88_depth_map_0008_x1024.png,scan88_depth_map_0008_x1024.png,1024x1280
1832,/l/vision/v5/sragas/DTU_patches/img80x64/scan126_depth_map_0040_x64.png,scan126_depth_map_0040_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan126_depth_map_0040_x128.png,scan126_depth_map_0040_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan126_depth_map_0040_x256.png,scan126_depth_map_0040_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan126_depth_map_0040_x512.png,scan126_depth_map_0040_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan126_depth_map_0040_x1024.png,scan126_depth_map_0040_x1024.png,1024x1280
3870,/l/vision/v5/sragas/DTU_patches/img80x64/scan39_depth_map_0030_x64.png,scan39_depth_map_0030_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan39_depth_map_0030_x128.png,scan39_depth_map_0030_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan39_depth_map_0030_x256.png,scan39_depth_map_0030_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan39_depth_map_0030_x512.png,scan39_depth_map_0030_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan39_depth_map_0030_x1024.png,scan39_depth_map_0030_x1024.png,1024x1280
7816,/l/vision/v5/sragas/DTU_patches/img80x64/scan99_depth_map_0008_x64.png,scan99_depth_map_0008_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan99_depth_map_0008_x128.png,scan99_depth_map_0008_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan99_depth_map_0008_x256.png,scan99_depth_map_0008_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan99_depth_map_0008_x512.png,scan99_depth_map_0008_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan99_depth_map_0008_x1024.png,scan99_depth_map_0008_x1024.png,1024x1280
4772,/l/vision/v5/sragas/DTU_patches/img80x64/scan51_depth_map_0036_x64.png,scan51_depth_map_0036_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan51_depth_map_0036_x128.png,scan51_depth_map_0036_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan51_depth_map_0036_x256.png,scan51_depth_map_0036_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan51_depth_map_0036_x512.png,scan51_depth_map_0036_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan51_depth_map_0036_x1024.png,scan51_depth_map_0036_x1024.png,1024x1280
196,/l/vision/v5/sragas/DTU_patches/img80x64/scan103_depth_map_0004_x64.png,scan103_depth_map_0004_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan103_depth_map_0004_x128.png,scan103_depth_map_0004_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan103_depth_map_0004_x256.png,scan103_depth_map_0004_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan103_depth_map_0004_x512.png,scan103_depth_map_0004_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan103_depth_map_0004_x1024.png,scan103_depth_map_0004_x1024.png,1024x1280
4503,/l/vision/v5/sragas/DTU_patches/img80x64/scan48_depth_map_0023_x64.png,scan48_depth_map_0023_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan48_depth_map_0023_x128.png,scan48_depth_map_0023_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan48_depth_map_0023_x256.png,scan48_depth_map_0023_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan48_depth_map_0023_x512.png,scan48_depth_map_0023_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan48_depth_map_0023_x1024.png,scan48_depth_map_0023_x1024.png,1024x1280
5495,/l/vision/v5/sragas/DTU_patches/img80x64/scan61_depth_map_0055_x64.png,scan61_depth_map_0055_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan61_depth_map_0055_x128.png,scan61_depth_map_0055_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan61_depth_map_0055_x256.png,scan61_depth_map_0055_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan61_depth_map_0055_x512.png,scan61_depth_map_0055_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan61_depth_map_0055_x1024.png,scan61_depth_map_0055_x1024.png,1024x1280
415,/l/vision/v5/sragas/DTU_patches/img80x64/scan106_depth_map_0031_x64.png,scan106_depth_map_0031_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan106_depth_map_0031_x128.png,scan106_depth_map_0031_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan106_depth_map_0031_x256.png,scan106_depth_map_0031_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan106_depth_map_0031_x512.png,scan106_depth_map_0031_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan106_depth_map_0031_x1024.png,scan106_depth_map_0031_x1024.png,1024x1280
5775,/l/vision/v5/sragas/DTU_patches/img80x64/scan66_depth_map_0015_x64.png,scan66_depth_map_0015_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan66_depth_map_0015_x128.png,scan66_depth_map_0015_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan66_depth_map_0015_x256.png,scan66_depth_map_0015_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan66_depth_map_0015_x512.png,scan66_depth_map_0015_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan66_depth_map_0015_x1024.png,scan66_depth_map_0015_x1024.png,1024x1280
7152,/l/vision/v5/sragas/DTU_patches/img80x64/scan89_depth_map_0048_x64.png,scan89_depth_map_0048_x64.png,64x80,/l/vision/v5/sragas/DTU_patches/img160x128/scan89_depth_map_0048_x128.png,scan89_depth_map_0048_x128.png,128x160,/l/vision/v5/sragas/DTU_patches/img320x256/scan89_depth_map_0048_x256.png,scan89_depth_map_0048_x256.png,256x320,/l/vision/v5/sragas/DTU_patches/img640x512/scan89_depth_map_0048_x512.png,scan89_depth_map_0048_x512.png,512x640,/l/vision/v5/sragas/DTU_patches/img1280x1024/scan89_depth_map_0048_x1024.png,scan89_depth_map_0048_x1024.png,1024x1280
